Date,Amount Paid (P)
2027-09-01,5
2027-09-01,5
2027-09-01,5
2027-09-01,5
2027-09-01,5
2027-09-01,5
2027-09-01,5
2027-09-01,5
2027-09-01,5
2027-09-01,5
2027-09-01,5
2027-09-01,5
2027-09-01,5
2027-09-02,5
2027-09-02,5
2027-09-02,5
2027-09-02,5
2027-09-02,5
2027-09-02,5
2027-09-02,5
2027-09-02,5
2027-09-02,5
2027-09-02,5
2027-09-02,5
2027-09-02,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-03,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-04,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-05,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-06,5
2027-09-07,5
2027-09-07,5
2027-09-07,5
2027-09-07,5
2027-09-07,5
2027-09-07,5
2027-09-07,5
2027-09-07,5
2027-09-07,5
2027-09-07,5
2027-09-07,5
2027-09-08,5
2027-09-08,5
2027-09-08,5
2027-09-08,5
2027-09-08,5
2027-09-08,5
2027-09-08,5
2027-09-08,5
2027-09-08,5
2027-09-08,5
2027-09-09,5
2027-09-09,5
2027-09-09,5
2027-09-09,5
2027-09-09,5
2027-09-09,5
2027-09-09,5
2027-09-09,5
2027-09-09,5
2027-09-09,5
2027-09-09,5
2027-09-09,5
2027-09-09,5
2027-09-10,5
2027-09-10,5
2027-09-10,5
2027-09-10,5
2027-09-10,5
2027-09-10,5
2027-09-10,5
2027-09-10,5
2027-09-10,5
2027-09-10,5
2027-09-10,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-11,5
2027-09-12,5
2027-09-12,5
2027-09-12,5
2027-09-12,5
2027-09-12,5
2027-09-12,5
2027-09-12,5
2027-09-12,5
2027-09-12,5
2027-09-12,5
2027-09-12,5
2027-09-12,5
2027-09-12,5
2027-09-12,5
2027-09-12,5
2027-09-12,5
2027-09-12,5
2027-09-12,5
2027-09-12,5
2027-09-12,5
2027-09-12,5
2027-09-12,5
2027-09-12,5
2027-09-12,5
2027-09-12,5
2027-09-13,5
2027-09-13,5
2027-09-13,5
2027-09-13,5
2027-09-13,5
2027-09-13,5
2027-09-13,5
2027-09-13,5
2027-09-13,5
2027-09-13,5
2027-09-13,5
2027-09-13,5
2027-09-13,5
2027-09-13,5
2027-09-13,5
2027-09-13,5
2027-09-13,5
2027-09-13,5
2027-09-14,5
2027-09-14,5
2027-09-14,5
2027-09-14,5
2027-09-14,5
2027-09-14,5
2027-09-14,5
2027-09-14,5
2027-09-14,5
2027-09-14,5
2027-09-14,5
2027-09-14,5
2027-09-14,5
2027-09-14,5
2027-09-14,5
2027-09-15,5
2027-09-15,5
2027-09-15,5
2027-09-15,5
2027-09-15,5
2027-09-15,5
2027-09-15,5
2027-09-15,5
2027-09-15,5
2027-09-15,5
2027-09-15,5
2027-09-15,5
2027-09-15,5
2027-09-15,5
2027-09-15,5
2027-09-15,5
2027-09-15,5
2027-09-16,5
2027-09-16,5
2027-09-16,5
2027-09-16,5
2027-09-16,5
2027-09-16,5
2027-09-16,5
2027-09-16,5
2027-09-16,5
2027-09-16,5
2027-09-17,5
2027-09-17,5
2027-09-17,5
2027-09-17,5
2027-09-17,5
2027-09-17,5
2027-09-17,5
2027-09-17,5
2027-09-17,5
2027-09-17,5
2027-09-17,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-18,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-19,5
2027-09-20,5
2027-09-20,5
2027-09-20,5
2027-09-20,5
2027-09-20,5
2027-09-20,5
2027-09-20,5
2027-09-20,5
2027-09-20,5
2027-09-20,5
2027-09-21,5
2027-09-21,5
2027-09-21,5
2027-09-21,5
2027-09-21,5
2027-09-21,5
2027-09-21,5
2027-09-21,5
2027-09-21,5
2027-09-21,5
2027-09-21,5
2027-09-21,5
2027-09-21,5
2027-09-21,5
2027-09-22,5
2027-09-22,5
2027-09-22,5
2027-09-22,5
2027-09-22,5
2027-09-22,5
2027-09-22,5
2027-09-22,5
2027-09-22,5
2027-09-22,5
2027-09-22,5
2027-09-23,5
2027-09-23,5
2027-09-23,5
2027-09-23,5
2027-09-23,5
2027-09-23,5
2027-09-23,5
2027-09-23,5
2027-09-23,5
2027-09-23,5
2027-09-24,5
2027-09-24,5
2027-09-24,5
2027-09-24,5
2027-09-24,5
2027-09-24,5
2027-09-24,5
2027-09-24,5
2027-09-24,5
2027-09-24,5
2027-09-24,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-25,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-26,5
2027-09-27,5
2027-09-27,5
2027-09-27,5
2027-09-27,5
2027-09-27,5
2027-09-27,5
2027-09-27,5
2027-09-27,5
2027-09-27,5
2027-09-27,5
2027-09-27,5
2027-09-27,5
2027-09-27,5
2027-09-28,5
2027-09-28,5
2027-09-28,5
2027-09-28,5
2027-09-28,5
2027-09-28,5
2027-09-28,5
2027-09-28,5
2027-09-28,5
2027-09-28,5
2027-09-28,5
2027-09-28,5
2027-09-28,5
2027-09-28,5
2027-09-29,5
2027-09-29,5
2027-09-29,5
2027-09-29,5
2027-09-29,5
2027-09-29,5
2027-09-29,5
2027-09-29,5
2027-09-29,5
2027-09-29,5
2027-09-29,5
2027-09-29,5
2027-09-29,5
2027-09-30,5
2027-09-30,5
2027-09-30,5
2027-09-30,5
2027-09-30,5
2027-09-30,5
2027-09-30,5
2027-09-30,5
2027-09-30,5
2027-09-30,5
2027-09-30,5
2027-09-30,5
2027-09-30,5
2027-09-30,5
2027-09-30,5
2027-09-30,5
